Account Name,Account ID,Tier,NTEE code,EIN,One time donations amount,Recurring donations amount,Total Donations Amount,FRU - Sector,FRU - Subsector
Fellowship of Christian Athletes,AFLRJKTK,Tier 1 ($100K+),O55: Youth Development-Religious Leadership,44-0610626,"$30,680,955","$86,223,996","$116,904,951",Human Services,Human Services - Sports & Youth Development
UNICEF USA,APQJSHGS,Tier 1 ($100K+),Q33: International Relief,,"$36,938,788","$27,852,945","$64,791,733",International Affairs,International Affairs - General
Muslimi,APRVBZRU,Tier 3 ($20K–$50K),X40: Islamic,,"$24,024,687","$16,517,982","$40,542,668",Religion,Religion - Islamic
Canadian Red Cross,ATVNLEWE,Tier 1 ($100K+),,,"$26,701,141","$6,558,079","$33,259,220",,
World Food Program USA,AJCUSWQR,Tier 1 ($100K+),"Q30: International Development, Relief Services",,"$16,371,555","$15,109,248","$31,480,802",International Affairs,International Affairs - General
Come and See,AAHPVCHM,Tier 1 ($100K+),X20: Christian,88-3013171,"$19,334,312","$6,678,852","$26,013,164",Religion,Religion - Christian
Alzheimer's Association,AJGEZYBE,Tier 1 ($100K+),G83: Alzheimers Disease,,"$24,431,211","$1,417,078","$25,848,289",Healthcare,Healthcare - General
Medical Aid for Palestinians,ADLJATHG,Tier 3 ($20K–$50K),,,"$18,220,422","$6,422,494","$24,642,916",,
Food For The Poor,AGPURJCY,Tier 1 ($100K+),Q33: International Relief,59-2174510,"$10,677,936","$10,933,818","$21,611,755",International Affairs,International Affairs - General
One For Israel,ASBGJCET,Tier 1 ($100K+),Q33: International Relief,61-1901718,"$11,660,591","$7,884,621","$19,545,211",International Affairs,International Affairs - General
Human Development Fund,AWCNMJUQ,,Q33: International Relief,92-2204466,"$275,461","$36,825","$312,286",International Affairs,International Affairs - General
Human Development Fund,AYDHTZNL,Tier 4 ($10K–$20K),Q33: International Relief,92-2204466,"$15,721,541","$3,244,816","$18,966,357",International Affairs,International Affairs - General
American Heart Association,ADQRERLU,Tier 1 ($100K+),"G43: Heart and Circulatory System Diseases, Disorders",13-5613797,"$16,508,119","$2,769,568","$19,277,687",Healthcare,Healthcare - General
Our Rescue,ATPZAWMN,Tier 2 ($50K–$100K),"W00: Public Policy, Public Services Institutions: General",46-3614979,"$4,137,929","$14,831,822","$18,969,751",Public and Society Benefit,Public & Society Benefit - General
The Salvation Army UK,ASNVRJLX,Tier 1 ($100K+),X20: Christian,,"$16,954,084","$1,521,031","$18,475,115",Religion,Religion - Christian
Mercy Ships,AQWWNSKU,Tier 1 ($100K+),Q33,26-2414132,"$10,624,303","$6,923,135","$17,547,438",International Affairs,International Affairs - General
Greater Chicago Food Depository,ABHUQHPC,Tier 2 ($50K–$100K),"K31: Food Banks, Food Pantries",36-2971864,"$12,607,052","$4,753,165","$17,360,217",Food & Nutrition,Food Banks
