Account Name,Account ID,Account Tier (Volume File),TIER (Religious Subset),Total Donation Volume $,Matched Volume Account Name,Match Type,Religious Match Reason
Fellowship of Christian Athletes,AFLRJKTK,Tier 1 ($100K+),TIER 1,"$116,904,951",Fellowship of Christian Athletes,exact,Account Name: christian; Account Name: christ; NTEE Code (Map to Sub Sectors): religious
Muslimi,APRVBZRU,Tier 3 ($20K–$50K),TIER 1,"$40,542,668",Muslimi,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Come And See,AAHPVCHM,Tier 1 ($100K+),TIER 1,"$26,013,164",Come and See,normalized,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
The Salvation Army UK,ASNVRJLX,Tier 1 ($100K+),TIER 1,"$18,475,115",The Salvation Army UK,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Colel Chabad HQ,AZELQFFN,Tier 5 ($5K–10K),TIER 1,"$7,597,377",Colel Chabad HQ,exact,NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Christian Appalachian Project,ABGAXMMM,Tier 1 ($100K+),TIER 1,"$5,804,398",Christian Appalachian Project,exact,Account Name: christian; Account Name: christ
Society of St. Vincent De Paul of Phoenix,ACFYBJHQ,Tier 1 ($100K+),TIER 1,"$4,982,641",Society of St. Vincent de Paul of Phoenix,normalized,NTEE Code (Map to Sub Sectors): catholic; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
NYC Muslim Center,ABAGJSNG,Tier 1 ($100K+),TIER 1,"$4,922,996",NYC Muslim Center,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
David Hernandez Ministries,APQKCPHZ,Tier 2 ($50K–$100K),TIER 1,"$4,584,734",David Hernandez Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Wheeler Mission,ATEVEEFP,Tier 2 ($50K–$100K),TIER 1,"$4,181,126",Wheeler Mission,exact,Account Name: mission
Radical,AQXHJKUK,Tier 2 ($50K–$100K),TIER 2,"$3,860,175",Radical,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Matthew 25 Ministries,AYCWZWGY,Tier 3 ($20K–$50K),TIER 2,"$3,256,730",Matthew 25: Ministries,normalized,Account Name: ministries
The Jewish Federation of Greater Washington,ANFDKLPL,Tier 1 ($100K+),TIER 3,"$2,794,255",The Jewish Federation of Greater Washington,exact,Account Name: jewish; NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Dallas Theological Seminary,AUASVNBM,Tier 2 ($50K–$100K),TIER 2,"$2,702,801",Dallas Theological Seminary,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Proverbs 31 Ministries,ARLMLBYH,Tier 3 ($20K–$50K),TIER 2,"$2,629,416",Proverbs 31 Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Yonge Street Mission,AYSVKLHR,Tier 3 ($20K–$50K),TIER 2,"$2,195,481",Yonge Street Mission,exact,Account Name: mission
Mission Bon Accueil,AHKWQRUP,Tier 2 ($50K–$100K),TIER 1,"$1,978,743",Mission Bon Accueil,exact,Account Name: mission
National Council of Canadian Muslims,ACFRVWZR,Tier 3 ($20K–$50K),TIER 3,"$1,973,443",National Council of Canadian Muslims,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion
The Deen Center,ABAYAGBN,Tier 1 ($100K+),TIER 3,"$1,911,946",The Deen Center,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Thich Nhat Hanh Foundation,AGZYZXUL,Tier 2 ($50K–$100K),TIER 2,"$1,890,766",Thich Nhat Hanh Foundation,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Bay Area Rescue Mission,AGEMTLDN,Tier 3 ($20K–$50K),TIER 2,"$1,881,973",Bay Area Rescue Mission,exact,Account Name: mission
Durham Rescue Mission,ALCUDRVC,Tier 2 ($50K–$100K),TIER 2,"$1,830,165",Durham Rescue Mission,exact,Account Name: mission; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Mel Trotter Ministries,ACBBQBMS,Tier 3 ($20K–$50K),TIER 2,"$1,805,344",Mel Trotter Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Vladimir Savchuk Ministries,ACNDRTRS,Tier 3 ($20K–$50K),TIER 3,"$1,644,844",Vladimir Savchuk Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
The Gospel Coalition,ACCWABLW,Tier 3 ($20K–$50K),TIER 3,"$1,637,072",The Gospel Coalition,exact,Account Name: gospel; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Los Angeles Mission,ADHHWQDV,Tier 3 ($20K–$50K),TIER 1,"$1,532,134",Los Angeles Mission,exact,Account Name: mission
Filter of Hope,ABBUGUKC,Tier 3 ($20K–$50K),TIER 3,"$1,519,915",Filter of Hope,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
MAZON: A Jewish Response to Hunger,ARHXXBJG,Tier 5 ($5K–10K),TIER 2,"$1,514,532",MAZON: A Jewish Response to Hunger,exact,Account Name: jewish; NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Siloam Mission,ACKQVTRX,Tier 2 ($50K–$100K),TIER 3,"$1,495,696",Siloam Mission,exact,Account Name: mission
