Account Name,Account ID,CSM Name,Account Tier,Projected Deal Value,Months Active,"Website with Elements, Onetime #","Website with Elements, Recurring #","Website without Elements, One-time #","Website without Elements, Recurring #","Campaign Pages, One-time #","Campaign Pages, Recurring #","P2P, One-time #","P2P, Recurring #","Virtual Terminal, One-time #","Virtual Terminal, Recurring #","API, One-time #","API, Recurring #","Recurring Migrations, #","Totals, One-time #","Totals, Recurring #","Website with Elements, One-time %","Website with Elements, Recurring %","Website without Elements, One-time %","Website without Elements, Recurring %","Campaign Pages, One-time %","Campaign Pages, Recurring %","P2P, One-time %","P2P, Recurring %","Total, One-time %","Total, Recurring %","Employer Name Filled, Donors %","USED Suggested Amount, Donations %","INCREASED Suggested Amount, Donations %","DECREASED Suggested Amount, Donations %","HAD NO Suggested Amount, Donations %",Total Donations Volume $
Fellowship of Christian Athletes,AFLRJKTK,Wil Pope,Tier 1 ($100K+),"$141,400",25,"$600,691","$708,067","$29,373,062","$33,352,211",$395,$0,"$170,221","$3,411","$536,586","$868,184",$0,$0,"$51,292,123","$30,680,955","$86,223,996",45.9%,54.1%,46.8%,53.2%,100.0%,0.0%,98.0%,2.0%,26.2%,73.8%,0.0%,6.9%,37.6%,54.9%,0.7%,"$116,904,951"
UNICEF USA,APQJSHGS,Stephanie Barrett,Tier 1 ($100K+),"$1,000,000",25,"$5,446,982","$2,268,631","$30,509,314","$13,652,972","$346,150","$31,470","$251,072","$6,625","$385,269","$1,406,059",$0,$0,"$10,487,186","$36,938,788","$27,852,945",70.6%,29.4%,69.1%,30.9%,91.7%,8.3%,97.4%,2.6%,57.0%,43.0%,4.2%,7.3%,5.7%,6.8%,80.2%,"$64,791,733"
Muslimi,APRVBZRU,Wil Pope,Tier 3 ($20K–$50K),,25,"$20,721,658","$14,726,444","$1,276,946","$1,074,570","$2,005,363","$695,751","$19,017","$21,217","$1,702",$0,$0,$0,$0,"$24,024,687","$16,517,982",58.5%,41.5%,54.3%,45.7%,74.2%,25.8%,47.3%,52.7%,59.3%,40.7%,0.0%,27.8%,19.3%,51.9%,1.1%,"$40,542,668"
Canadian Red Cross,ATVNLEWE,Peter Strom,Tier 1 ($100K+),"$780,000",25,"$8,655,831","$722,516","$4,444,822","$689,822","$12,147,925","$58,543",$0,$0,"$1,452,563","$130,496",$0,$0,"$4,956,701","$26,701,141","$6,558,079",92.3%,7.7%,86.6%,13.4%,99.5%,0.5%,,,80.3%,19.7%,0.0%,54.0%,17.8%,28.1%,0.1%,"$33,259,220"
World Food Program USA,AJCUSWQR,Henrique Lucena,Tier 1 ($100K+),"$26,000",22,"$546,419","$155,824","$3,812,492","$474,911","$11,772,804","$3,690,236","$33,830","$2,362","$163,190","$50,257","$42,820","$343,746","$10,391,910","$16,371,555","$15,109,248",77.8%,22.2%,88.9%,11.1%,76.1%,23.9%,93.5%,6.5%,52.0%,48.0%,0.0%,13.9%,30.5%,54.7%,0.9%,"$31,480,802"
Come and See,AAHPVCHM,Wil Pope,Tier 1 ($100K+),,12,"$17,653,778","$1,940,159","$1,626,109","$100,302",$0,$0,$0,$0,"$53,108",$412,"$1,317",$20,"$4,637,960","$19,334,312","$6,678,852",90.1%,9.9%,94.2%,5.8%,,,,,74.3%,25.7%,0.0%,73.1%,11.3%,14.4%,1.2%,"$26,013,164"
Alzheimer's Association,AJGEZYBE,Peter Strom,Tier 1 ($100K+),"$300,000",25,"$2,797,977","$278,981","$12,349,951","$896,702","$9,274,013","$241,094",$0,$0,"$9,271",$300,$0,$0,$0,"$24,431,211","$1,417,078",90.9%,9.1%,93.2%,6.8%,97.5%,2.5%,,,94.5%,5.5%,6.4%,25.6%,35.1%,36.8%,2.5%,"$25,848,289"
Medical Aid for Palestinians,ADLJATHG,Peter Strom,Tier 3 ($20K–$50K),,23,"$285,595","$175,749","$17,731,390","$6,205,327","$75,753","$33,086",$0,$0,"$127,683","$8,332",$0,$0,$0,"$18,220,422","$6,422,494",61.9%,38.1%,74.1%,25.9%,69.6%,30.4%,,,73.9%,26.1%,0.0%,13.5%,24.2%,61.1%,1.2%,"$24,642,916"
Food For The Poor,AGPURJCY,Mandy Gatton,Tier 1 ($100K+),"$800,000",25,"$37,898","$70,375","$6,897,367","$2,589,708","$3,624,883","$418,750",$0,$0,"$117,788","$14,851",$0,$0,"$7,840,134","$10,677,936","$10,933,818",35.0%,65.0%,72.7%,27.3%,89.6%,10.4%,,,49.4%,50.6%,5.6%,8.8%,21.3%,61.2%,8.7%,"$21,611,755"
One For Israel,ASBGJCET,Tara Broughel,Tier 1 ($100K+),,25,"$10,186,792","$4,988,935","$872,994","$218,675","$12,814","$14,087",$0,$0,"$587,991","$518,654",$0,$0,"$2,144,269","$11,660,591","$7,884,621",67.1%,32.9%,80.0%,20.0%,47.6%,52.4%,,,59.7%,40.3%,0.0%,90.7%,5.0%,4.2%,0.1%,"$19,545,211"
Human Development Fund,AWCNMJUQ,,,,25,"$264,853","$35,627","$10,608","$1,198",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$275,461","$36,825",88.1%,11.9%,89.9%,10.1%,,,,,88.2%,11.8%,0.0%,16.5%,16.3%,66.8%,0.4%,"$312,286"
Human Development Fund,AYDHTZNL,Rachael Nuwash,Tier 4 ($10K–$20K),,25,"$6,808,197","$1,853,701","$5,229,006","$879,855","$3,020,482","$209,730",$0,$0,"$663,856","$301,531",$0,$0,$0,"$15,721,541","$3,244,816",78.6%,21.4%,85.6%,14.4%,93.5%,6.5%,,,82.9%,17.1%,5.6%,16.7%,28.3%,53.5%,1.5%,"$18,966,357"
American Heart Association,ADQRERLU,Rachael Nuwash,Tier 1 ($100K+),"$288,140",25,"$10,752,264","$555,127","$5,283,492","$2,123,767","$183,563","$83,140",$0,$0,"$288,801","$7,534",$0,$0,$0,"$16,508,119","$2,769,568",95.1%,4.9%,71.3%,28.7%,68.8%,31.2%,,,85.6%,14.4%,8.0%,34.9%,15.2%,33.1%,16.9%,"$19,277,687"
Our Rescue,ATPZAWMN,Rachael Nuwash,Tier 2 ($50K–$100K),"$360,000",25,"$632,491","$1,365,819","$2,865,190","$8,194,074","$409,736","$81,565","$201,426","$22,653","$29,085","$20,758",$0,$0,"$5,146,953","$4,137,929","$14,831,822",31.7%,68.3%,25.9%,74.1%,83.4%,16.6%,89.9%,10.1%,21.8%,78.2%,5.2%,21.0%,29.4%,48.9%,0.8%,"$18,969,751"
The Salvation Army UK,ASNVRJLX,Mandy Gatton,Tier 1 ($100K+),"$300,000",25,"$9,999,653","$798,916","$6,954,431","$722,115",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$16,954,084","$1,521,031",92.6%,7.4%,90.6%,9.4%,,,,,91.8%,8.2%,0.0%,64.5%,25.5%,10.0%,0.1%,"$18,475,115"
Mercy Ships,AQWWNSKU,Tara Broughel,Tier 1 ($100K+),"$73,400",25,"$454,225","$1,217,499","$7,493,495","$5,330,967","$2,676,582","$374,669",$0,$0,$0,$0,$0,$0,$0,"$10,624,303","$6,923,135",27.2%,72.8%,58.4%,41.6%,87.7%,12.3%,,,60.5%,39.5%,5.8%,10.8%,25.9%,62.7%,0.7%,"$17,547,438"
Greater Chicago Food Depository,ABHUQHPC,Tara Broughel,Tier 2 ($50K–$100K),"$255,000",25,"$8,286,471","$1,386,037","$817,169","$124,562","$3,319,962","$174,878",$634,$0,"$182,815","$74,991",$0,$0,"$2,992,698","$12,607,052","$4,753,165",85.7%,14.3%,86.8%,13.2%,95.0%,5.0%,100.0%,0.0%,72.6%,27.4%,11.1%,9.4%,34.0%,56.3%,0.4%,"$17,360,217"
Best Friends Animal Society,AFZUYXBL,Mandy Gatton,Tier 1 ($100K+),"$106,000",25,"$926,692","$987,338","$9,735,995","$2,284,253","$771,570","$329,448","$60,171",$414,$707,"$67,322","$19,358",$0,"$1,946,287","$11,514,493","$5,615,061",48.4%,51.6%,81.0%,19.0%,70.1%,29.9%,99.3%,0.7%,67.2%,32.8%,0.0%,13.8%,23.7%,62.1%,0.4%,"$17,129,554"
Partners In Health,AJDEFYWC,Stephanie Barrett,Tier 1 ($100K+),"$180,000",25,"$1,994,025","$652,137","$5,906,619","$3,627,527","$7,171",$492,"$162,533","$17,084","$27,384","$137,838",$0,$0,"$2,727,798","$8,097,732","$7,162,876",75.4%,24.6%,62.0%,38.0%,93.6%,6.4%,90.5%,9.5%,53.1%,46.9%,5.9%,12.4%,6.0%,9.3%,72.3%,"$15,260,608"
Canadian Cancer Society,APZMZAGU,Peter Strom,Tier 1 ($100K+),"$100,000",25,"$9,054,724","$564,089","$821,308","$48,841","$2,783,455","$219,052",$0,$0,"$217,910","$34,926",$0,$0,"$1,058,951","$12,877,396","$1,925,860",94.1%,5.9%,94.4%,5.6%,92.7%,7.3%,,,87.0%,13.0%,0.1%,22.2%,23.7%,53.9%,0.2%,"$14,803,256"
Spotlight Humanity,ACTVVQYC,Wil Pope,,,25,"$2,535,617","$728,339","$90,890","$25,088",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,626,507","$753,428",77.7%,22.3%,78.4%,21.6%,,,,,77.7%,22.3%,0.0%,23.8%,22.2%,52.8%,1.2%,"$3,379,935"
Spotlight Humanity,ANBZKKHQ,Wil Pope,,,25,"$6,990,153","$3,438,635","$199,764","$115,249","$1,786","$10,764",$0,$0,$0,$0,$0,$0,$0,"$7,191,703","$3,564,648",67.0%,33.0%,63.4%,36.6%,14.2%,85.8%,,,66.9%,33.1%,0.0%,74.8%,6.9%,16.8%,1.5%,"$10,756,351"
Thunderbird (MZLA Technologies),ADGJGYAN,,,,25,"$1,107,030","$149,909","$10,405,701","$644,509",$0,$0,$0,$0,$0,$0,$0,$0,"$210,710","$11,512,730","$1,005,127",88.1%,11.9%,94.2%,5.8%,,,,,92.0%,8.0%,0.0%,51.5%,19.8%,28.6%,0.0%,"$12,517,858"
Greater Good Charities,AHTMBNKF,Tara Broughel,Tier 3 ($20K–$50K),"$60,000",25,"$7,769,842","$3,543,662","$159,600","$109,939","$1,285","$1,727","$5,069",$17,"$5,518","$1,310",$0,$0,"$232,708","$7,941,314","$3,889,364",68.7%,31.3%,59.2%,40.8%,42.6%,57.4%,99.7%,0.3%,67.1%,32.9%,4.9%,65.0%,8.4%,25.7%,0.9%,"$11,830,678"
Smile Train,ASWDAQZD,Mandy Gatton,Tier 1 ($100K+),"$200,000",25,"$56,987","$22,249","$2,458,820","$800,268","$7,358,599","$1,114,070",$0,$0,$0,$0,$15,$0,$0,"$9,874,421","$1,936,587",71.9%,28.1%,75.4%,24.6%,86.9%,13.1%,,,83.6%,16.4%,8.0%,3.1%,4.3%,7.9%,84.7%,"$11,811,008"
MusiCares,AZRKGFZM, ,Tier 3 ($20K–$50K),"$6,000",25,"$1,096,073","$58,953","$110,683","$3,324","$8,774,604","$9,988","$24,116",$477,$0,$0,$0,$0,"$8,194","$10,005,475","$80,937",94.9%,5.1%,97.1%,2.9%,99.9%,0.1%,98.1%,1.9%,99.2%,0.8%,0.0%,26.6%,23.1%,50.2%,0.1%,"$10,086,412"
Daily Bread Food Bank,APSGZTRJ,Henrique Lucena,Tier 1 ($100K+),"$220,000",25,"$4,714,110","$1,096,833","$1,787,934","$213,213","$619,247","$5,209","$386,179","$18,499",$146,"$1,181",$0,$0,"$38,932","$7,507,616","$1,373,867",81.1%,18.9%,89.3%,10.7%,99.2%,0.8%,95.4%,4.6%,84.5%,15.5%,3.2%,9.2%,54.2%,36.0%,0.6%,"$8,881,482"
Daily Giving,AYEWEYZD,Stephanie Barrett,Tier 4 ($10K–$20K),"$150,000",25,"$53,808","$4,960,448","$79,710","$209,985",$0,$0,$0,$0,"$18,459","$77,032",$0,$0,"$3,456,970","$151,976","$8,704,435",1.1%,98.9%,27.5%,72.5%,,,,,1.7%,98.3%,8.4%,93.3%,2.2%,4.6%,0.0%,"$8,856,411"
Catholic Charities USA,ALDDGZXS,Stephanie Barrett,Tier 2 ($50K–$100K),"$56,000",25,"$543,889","$225,374","$4,545,326","$653,149","$1,496,902","$186,179",$0,$0,"$125,712","$14,808",$0,$0,"$911,725","$6,711,829","$1,991,235",70.7%,29.3%,87.4%,12.6%,88.9%,11.1%,,,77.1%,22.9%,1.3%,17.5%,28.0%,53.8%,0.7%,"$8,703,064"
CURE International,ABBNLXBU,Tara Broughel,Tier 3 ($20K–$50K),"$150,000",25,"$2,366,235","$506,964","$1,517,842","$478,696","$58,172","$2,973","$21,858",$885,"$681,191","$51,654",$0,$0,"$2,945,383","$4,645,299","$3,986,554",82.4%,17.6%,76.0%,24.0%,95.1%,4.9%,96.1%,3.9%,53.8%,46.2%,7.1%,31.3%,27.4%,40.0%,1.3%,"$8,631,853"
Boys Town,ABBJJMKP,Henrique Lucena,Tier 1 ($100K+),"$202,650",25,"$2,997,159","$858,138","$419,888","$202,895","$1,320,715","$68,497",$984,$55,"$601,877","$445,594",$0,$0,"$1,628,215","$5,340,623","$3,203,393",77.7%,22.3%,67.4%,32.6%,95.1%,4.9%,94.8%,5.2%,62.5%,37.5%,2.1%,57.1%,10.7%,31.9%,0.2%,"$8,544,017"
International Rescue Committee,AFGSSTXA,Wil Pope,Tier 1 ($100K+),"$380,000",20,"$1,015,206",$0,"$7,130,956",$0,"$154,684",$0,$0,$0,$0,$0,$0,$0,$0,"$8,300,847",$0,100.0%,0.0%,100.0%,0.0%,100.0%,0.0%,,,100.0%,0.0%,5.9%,12.5%,29.5%,57.9%,0.0%,"$8,300,847"
ONG LIFE,AJMNKTJZ,Henrique Lucena,Tier 2 ($50K–$100K),$0,25,"$3,196,290","$1,029,726","$3,173,848","$453,440","$53,736","$8,771","$87,307","$4,623",$0,$339,$0,$0,$742,"$6,511,181","$1,497,641",75.6%,24.4%,87.5%,12.5%,86.0%,14.0%,95.0%,5.0%,81.3%,18.7%,0.0%,28.3%,26.6%,44.0%,1.0%,"$8,008,822"
Susan G. Komen,AGQCQTTK,Rachael Nuwash,Tier 2 ($50K–$100K),"$240,000",25,"$1,216,925","$113,080","$5,494,699","$634,997","$153,130","$8,084",$0,$0,"$122,827","$27,888",$0,$0,"$15,193","$6,987,580","$799,242",91.5%,8.5%,89.6%,10.4%,95.0%,5.0%,,,89.7%,10.3%,9.2%,24.5%,24.8%,50.4%,0.3%,"$7,786,822"
Feed the Children,AHQLCMJQ,Wil Pope,Tier 1 ($100K+),"$54,318",25,"$1,565,685","$357,965","$3,581,906","$860,800","$44,424",$801,"$4,011",$0,"$87,748","$16,512",$0,$0,"$1,231,744","$5,283,773","$2,467,821",81.4%,18.6%,80.6%,19.4%,98.2%,1.8%,100.0%,0.0%,68.2%,31.8%,3.9%,17.0%,32.5%,50.2%,0.4%,"$7,751,594"
Colel Chabad HQ,AZELQFFN,Henrique Lucena,Tier 5 ($5K–10K),"$5,500",25,"$2,227,230","$262,809","$4,545,362","$524,845","$7,601",$143,"$9,433","$4,772",$346,$480,$0,$0,"$14,356","$6,789,973","$807,404",89.4%,10.6%,89.6%,10.4%,98.2%,1.8%,66.4%,33.6%,89.4%,10.6%,0.4%,28.3%,9.0%,39.9%,22.9%,"$7,597,377"
Union Gospel Mission,ASVMEEMY,Stephanie Barrett,Tier 1 ($100K+),"$20,000",25,"$750,318","$36,223","$3,709,434","$461,730",$0,"$1,770","$6,052",$0,"$15,333","$90,401",$0,$0,"$2,453,749","$4,481,138","$3,043,874",95.4%,4.6%,88.9%,11.1%,0.0%,100.0%,100.0%,0.0%,59.5%,40.5%,0.0%,12.8%,35.4%,51.3%,0.5%,"$7,525,011"
Humaniti USA,AKVBCGZY,Wil Pope,,,25,"$3,643,244","$1,347,542","$229,212","$69,400","$1,485,798","$262,057","$3,109",$215,"$352,103","$112,123",$0,$0,$0,"$5,713,466","$1,791,338",73.0%,27.0%,76.8%,23.2%,85.0%,15.0%,93.5%,6.5%,76.1%,23.9%,4.3%,30.8%,19.2%,49.3%,0.7%,"$7,504,804"
Food Banks Canada,AUHWRJYC,Peter Strom,Tier 2 ($50K–$100K),"$61,389",11,"$1,046,169","$36,347","$4,768,791","$46,901","$240,141","$31,083",$0,$0,"$181,872","$36,614",$0,$0,"$1,044,391","$6,236,972","$1,195,337",96.6%,3.4%,99.0%,1.0%,88.5%,11.5%,,,83.9%,16.1%,0.0%,11.5%,33.7%,54.7%,0.1%,"$7,432,309"
Alzheimer's Society,AFLRGULE,Tara Broughel,Tier 1 ($100K+),"$100,000",25,"$4,043,838","$194,828","$2,863,542","$148,714","$127,037","$14,523",$0,$0,$0,$0,$0,$0,$0,"$7,034,417","$358,065",95.4%,4.6%,95.1%,4.9%,89.7%,10.3%,,,95.2%,4.8%,0.0%,65.9%,22.9%,11.0%,0.2%,"$7,392,482"
USO,AWFXWKCB,Wil Pope,Tier 1 ($100K+),"$400,000",12,"$927,256","$54,107","$1,091,247","$38,933","$5,018,932","$108,801",$0,$0,"$106,154","$9,868",$0,$0,$0,"$7,143,588","$211,710",94.5%,5.5%,96.6%,3.4%,97.9%,2.1%,,,97.1%,2.9%,2.8%,42.0%,19.7%,38.2%,0.1%,"$7,355,298"
Operation Smile,ATVPVDAJ,Mandy Gatton,Tier 1 ($100K+),"$95,485",25,"$274,402","$207,188","$2,980,244","$1,865,063","$1,511,788","$383,979",$0,$0,$43,"$1,192",$0,$0,$0,"$4,766,478","$2,457,422",57.0%,43.0%,61.5%,38.5%,79.7%,20.3%,,,66.0%,34.0%,0.0%,15.1%,17.8%,66.3%,0.8%,"$7,223,900"
Project HOPE,ATGYYFNG,Wil Pope,Tier 3 ($20K–$50K),"$30,000",12,"$576,882","$39,604","$78,551","$6,668","$4,763,899","$429,270","$7,052",$0,"$35,348","$18,570","$126,132","$530,429","$432,033","$5,587,864","$1,456,572",93.6%,6.4%,92.2%,7.8%,91.7%,8.3%,100.0%,0.0%,79.3%,20.7%,1.3%,27.6%,34.6%,37.5%,0.3%,"$7,044,436"
Make-A-Wish Foundation of America,AKVYFUBL,Henrique Lucena,Tier 1 ($100K+),"$169,000",9,"$4,126,441","$58,119","$569,017","$11,639","$1,895,433","$72,712",$0,$0,$0,$0,"$8,506","$1,413",$0,"$6,599,397","$143,882",98.6%,1.4%,98.0%,2.0%,96.3%,3.7%,,,97.9%,2.1%,7.1%,7.3%,25.0%,67.7%,0.0%,"$6,743,280"
1A Najam Relief - CB,ALCEJEUX,,,,12,"$107,420","$10,773","$2,185",$495,"$6,100,698","$510,493",$0,$0,$0,$0,$0,$0,$0,"$6,210,303","$521,760",90.9%,9.1%,81.5%,18.5%,92.3%,7.7%,,,92.2%,7.8%,0.0%,36.1%,12.3%,50.5%,1.0%,"$6,732,063"
Mozilla Foundation,ADCYPWMX,Peter Strom,Tier 3 ($20K–$50K),"$24,597",25,"$75,692","$56,333","$4,710,829","$1,293,811",$0,"$2,512",$0,$0,$0,$0,$0,$0,"$306,256","$4,786,521","$1,658,911",57.3%,42.7%,78.5%,21.5%,0.0%,100.0%,,,74.3%,25.7%,0.0%,57.9%,23.8%,17.3%,0.9%,"$6,445,432"
The Mustard Seed,AVZLAWYL,Tara Broughel,Tier 1 ($100K+),"$186,000",25,"$1,225,549","$85,280","$3,740,384","$797,982",$0,$0,$0,$0,"$1,700","$581,455",$0,$0,$0,"$4,967,633","$1,464,717",93.5%,6.5%,82.4%,17.6%,,,,,77.2%,22.8%,9.1%,10.1%,36.8%,52.6%,0.6%,"$6,432,350"
Obama Foundation,AHNVSXNQ,Mandy Gatton,Tier 1 ($100K+),"$125,000",25,"$427,197","$351,533","$3,348,615","$910,474","$47,561","$22,632",$0,$0,$759,"$167,424",$0,$0,"$1,146,363","$3,824,131","$2,598,427",54.9%,45.1%,78.6%,21.4%,67.8%,32.2%,,,59.5%,40.5%,7.6%,23.9%,19.3%,55.9%,0.9%,"$6,422,558"
Greater Vancouver Food Bank,AYCPEXCR,Tara Broughel,Tier 1 ($100K+),"$120,000",25,"$536,948","$97,760","$3,170,313","$684,341","$75,087","$390,437",$0,$0,"$6,333","$169,164",$0,$0,"$1,170,983","$3,788,681","$2,512,685",84.6%,15.4%,82.2%,17.8%,16.1%,83.9%,,,60.1%,39.9%,0.0%,9.2%,36.9%,53.6%,0.3%,"$6,301,366"
Community FoodBank of NJ,ASETENKY,Stephanie Barrett,Tier 1 ($100K+),"$100,000",25,"$329,909","$103,828","$3,763,255","$1,639,674","$224,925","$12,449",$0,$0,"$42,232","$122,920",$0,$0,$0,"$4,360,322","$1,878,871",76.1%,23.9%,69.7%,30.3%,94.8%,5.2%,,,69.9%,30.1%,11.5%,12.9%,33.4%,31.2%,22.6%,"$6,239,193"
United Nations Population Fund,ACSRWCJP,Rachael Nuwash,Tier 2 ($50K–$100K),"$50,000",25,"$1,688,404","$768,451","$2,166,734","$1,529,723",$0,$154,$197,$360,$0,$70,$0,$0,"$72,301","$3,855,335","$2,371,059",68.7%,31.3%,58.6%,41.4%,0.0%,100.0%,35.4%,64.6%,61.9%,38.1%,0.0%,37.0%,16.3%,45.4%,1.3%,"$6,226,394"
Friends of Indus Hospital,AUEZFWFY, ,Tier 6 (<$5K),$600,25,"$2,893,106","$900,179","$1,656,640","$228,818","$217,506","$87,376","$1,936",$631,$209,"$1,045",$0,$0,$0,"$4,769,396","$1,218,049",76.3%,23.7%,87.9%,12.1%,71.3%,28.7%,75.4%,24.6%,79.7%,20.3%,5.2%,8.7%,32.9%,57.8%,0.6%,"$5,987,445"
Christian Appalachian Project,ABGAXMMM,Stephanie Barrett,Tier 1 ($100K+),"$70,000",25,"$1,179,145","$297,489","$2,688,918","$718,773","$234,478","$23,910",$0,$0,$0,$0,$0,$0,"$661,685","$4,102,541","$1,701,857",79.9%,20.1%,78.9%,21.1%,90.7%,9.3%,,,70.7%,29.3%,4.1%,18.3%,33.2%,48.4%,0.2%,"$5,804,398"
