"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"CHAVEIRIM OF KJ","telsheyeshiva.edu","telsheyeshiva.edu","Prospect","","Working","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"Wocstarfoundation","wocstar.com","wocstar.com","Customer Sub-Account","Customer Active","Customer","T20: Private Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Private Grant making Foundations","Public and Society Benefit","Public & Society Benefit - General","-"
"Purple Heart Foundation","https://purpleheartfoundation.org/","purpleheartfoundation.org","Prospect","","Working","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"Helping Hands Ministries","hhmlp.com","hhmlp.com","Prospect","","Responded","S20: Community, Neighborhood Development, Improvement","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"ConvertFlow","convertflow.com","convertflow.com","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Crossbeam Inc","crossbeam.com","crossbeam.com","Prospect","","Responded","B03: Education Professional Societies and Associations","B: Education","Education related Org - General","Education","Education - General","-"
"Talentpul LLC","talentpul.com","talentpul.com","Prospect","","Responded","J20: Employment Procurement Assistance and Job Training","J: Employment, Job Related","Employment & Job Related Org - General","Public and Society Benefit","Public & Society Benefit - Employment, Job","-"
"The Community Foundation for McHenry County","thecfmc.org","thecfmc.org","Customer","Churned","Partial Churn","T31: Community Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Hope Surrogacy","hopesurrogacy.com","hopesurrogacy.com","Prospect","","Opportunity","B29: Charter Schools","B: Education","K-12 Education","Education","K-12 Education","-"
"Sisters Heal Network","https://sistershealingspace.com/","sistershealingspace.com","Prospect","","Working","B12: Education Fund Raising and Fund Distribution","B: Education","Education related Org - General","Education","Education - General","-"
"Jordan Smith","hirejordansmith.com","hirejordansmith.com","Partner","","Responded","J40: Labor unions, organizations","J: Employment, Job Related","Labor Unions/Organizations","Public and Society Benefit","Public & Society Benefit - Employment, Job","-"
"Heroes Del Mar","heroesdelmar.org","heroesdelmar.org","Customer Sub-Account","","Customer","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","-"
"Baby Steps","babysteps.org","babysteps.org","Customer","Churned","Partial Churn","L41: Homeless, Temporary Shelter","L: Housing, Shelter","Temporary Shelter for the Homeless","Human Services","Human Services - Housing, Shelter","-"
"Farmwork Resilience and Infrastructure Fund","renewablegroup.com","renewablegroup.com","Customer Sub-Account","","Customer","C30: Natural Resources Conservation and Protection","C: Environmental Quality, Protection, and Beautification","Climate protection","Environment","Environment - General","-"
"Netlify","netlify.com","netlify.com","Prospect","","Responded","A30: Media, Communications Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","-"
"Stagecoach Digital","stagecoach.co","stagecoach.co","Prospect","","Responded","S30: Economic Development","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"National Alliance to End Homelessness","naeh.org","naeh.org","Prospect","","Responded","L41: Homeless, Temporary Shelter","L: Housing, Shelter","Temporary Shelter for the Homeless","Human Services","Human Services - Housing, Shelter","-"
"Asum Uk","asum.uk","asum.uk","Prospect","","Opportunity","B03: Education Professional Societies and Associations","B: Education","Education related Org - General","Education","Education - General","-"
"International Society for Krishna Consciousness,ISKCON","iskcon.net","iskcon.net","Prospect","","Working","X80: Religious Media, Communications Organizations","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","-"
"Notion","mail.notion.so","mail.notion.so","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
