account_id,account_name,match_source,ntee_code,fru_sector,fru_subsector
AFLRJKTK,Fellowship of Christian Athletes,id,O55: Youth Development-Religious Leadership,Human Services,Human Services - Sports & Youth Development
APQJSHGS,UNICEF USA,id,Q33: International Relief,International Affairs,International Affairs - General
APRVBZRU,Muslimi,id,X40: Islamic,Religion,Religion - Islamic
ATVNLEWE,Canadian Red Cross,unclassified,,,
ATPZAWMN,Our Rescue,id,"W00: Public Policy, Public Services Institutions: General",Public and Society Benefit,Public & Society Benefit - General
ASBGJCET,One For Israel,id,Q33: International Relief,International Affairs,International Affairs - General
AGPURJCY,Food For The Poor,id,Q33: International Relief,International Affairs,International Affairs - General
ADLJATHG,Medical Aid for Palestinians,unclassified,,,
ADQRERLU,American Heart Association,id,"G43: Heart and Circulatory System Diseases, Disorders",Healthcare,Healthcare - General
ASNVRJLX,The Salvation Army UK,id,X20: Christian,Religion,Religion - Christian
AQWWNSKU,Mercy Ships,id,Q33,International Affairs,International Affairs - General
AJDEFYWC,Partners In Health,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
ABHUQHPC,Greater Chicago Food Depository,id,"K31: Food Banks, Food Pantries",Food & Nutrition,Food Banks
AYDHTZNL,Human Development Fund,id,Q33: International Relief,International Affairs,International Affairs - General
ADGJGYAN,Thunderbird (MZLA Technologies),unclassified,,,
AJGEZYBE,Alzheimer's Association,id,G83: Alzheimers Disease,Healthcare,Healthcare - General
ALDDGZXS,Catholic Charities USA,id,X20,Religion,Religion - Christian
ASWDAQZD,Smile Train,id,G40: Diseases of Specific Organs,Healthcare,Healthcare - General
AHTMBNKF,Greater Good Charities,id,T30: Public Foundations,Public and Society Benefit,Public & Society Benefit - General
AYEWEYZD,Daily Giving,id,T30: Public Foundations,Public and Society Benefit,Public & Society Benefit - General
ABBNLXBU,CURE International,id,"E24: Hospital, Specialty",Healthcare,Healthcare - Hospitals
AGQCQTTK,Susan G. Komen,id,G30: Cancer,Healthcare,Healthcare - Cancer
AJCUSWQR,World Food Program USA,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
ABBJJMKP,Boys Town,id,"P70: Residential, Custodial Care (Group Home)",Human Services,"Human Services - Housing, Shelter"
AFZUYXBL,Best Friends Animal Society,id,D20: Animal Protection and Welfare,Animal Welfare,Animal Welfare - General
AJMNKTJZ,ONG LIFE,unclassified,,,
ASVMEEMY,Union Gospel Mission,id,P85: Homeless Persons Centers and Services,Human Services,"Human Services - Housing, Shelter"
APSGZTRJ,Daily Bread Food Bank,id,"K31: Food Banks, Food Pantries",Food & Nutrition,Food Banks
AZELQFFN,Colel Chabad HQ,id,X30: Jewish,Religion,Religion - Jewish
AFLRGULE,Alzheimer's Society,id,G83: Alzheimers Disease,Healthcare,Healthcare - General
AVZLAWYL,The Mustard Seed,id,"P70: Residential, Custodial Care (Group Home)",Human Services,"Human Services - Housing, Shelter"
ACSRWCJP,United Nations Population Fund,unclassified,,,
APZMZAGU,Canadian Cancer Society,id,G30: Cancer,Healthcare,Healthcare - Cancer
ATVPVDAJ,Operation Smile,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
AHQLCMJQ,Feed the Children,id,Q33: International Relief,International Affairs,International Affairs - General
ANBZKKHQ,Spotlight Humanity,id,S50: Nonprofit Management,Public and Society Benefit,Public & Society Benefit - General
AYCPEXCR,Greater Vancouver Food Bank,id,Not US,Human Services,Human Services - Sports & Youth Development
AXDZQYPT,American Diabetes Association,id,G80: Specifically Named Diseases,Healthcare,Healthcare - General
AHRLVFYF,UHR Najam Institute Foundation Inc,unclassified,,,
AUEZFWFY,Friends of Indus Hospital,id,E112,Human Services,Human Services - General
AGDVEKDU,SU2C American Airlines,unclassified,,,
APQKCPHZ,David Hernandez Ministries,id,X20: Christian,Religion,Religion - Christian
ASETENKY,Community FoodBank of NJ,unclassified,,,
AGCNVMTH,UMMA,id,"L20: Housing Development, Construction, Management",Human Services,"Human Services - Housing, Shelter"
AKABBKSS,The Joshua Fund,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
ABGAXMMM,Christian Appalachian Project,id,P20: Human Service Organizations,Human Services,Human Services - General
AQXHJKUK,Radical,id,X20: Christian,Religion,Religion - Christian
AHZARCZC,Undue Medical Debt,id,P50: Personal Social Services,Human Services,Human Services - General
ADCYPWMX,Mozilla Foundation,id,"U40: Engineering and Technology Research, Services",Science & Technology,Science & Technology - General
AHNVSXNQ,Obama Foundation,unclassified,,,
AMHQWEVX,CAFOD,id,Q33: International Relief,International Affairs,International Affairs - General
AEVYBPZT,Northwest Harvest,id,"K30: Food Service, Free Food Distribution Programs",Food & Nutrition,Food Banks
AQXGTPZS,Gleaners Community Food Bank,unclassified,,,
AFGSSTXA,International Rescue Committee,id,Q710,International Affairs,International Affairs - General
ANPKBVVS,San Diego Food Bank,id,"K31: Food Banks, Food Pantries",Food & Nutrition,Food Banks
ALGMTNTC,Boys & Girls Clubs of America,id,O230,,
ATEVEEFP,Wheeler Mission,id,P85: Homeless Persons Centers and Services,Human Services,"Human Services - Housing, Shelter"
AYCWZWGY,Matthew 25: Ministries,id,"Q12: International, Foreign Affairs and National Security Fund Raising and Fund Distribution",International Affairs,International Affairs - General
ANUWBNWK,Fellowship of Israel Related Ministries,id,X20,Religion,Religion - Christian
ADTQAZVA,Benny Hinn Ministries,unclassified,,,
AGSZYUJQ,Mercy-USA for Aid and Development,id,Q33: International Relief,International Affairs,International Affairs - General
RWHMSQPD,neverthirst,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
AEEUYGTC,Alzheimer Society of Canada,id,G83: Alzheimers Disease,Healthcare,Healthcare - General
AANRTYJY,Council on American-Islamic Relations,id,A23,,
AMNHZKGH,Daystar Canada,unclassified,,,
ANFDKLPL,The Jewish Federation of Greater Washington,id,X30: Jewish,Religion,Religion - Jewish
ACMRCWPB,Rainforest Trust,id,C30: Natural Resources Conservation and Protection,Environment,Environment - General
AGBPCSCJ,The Ottawa Mission,id,X00: Religion: General,Religion,Religion - General
AJPYNTWD,March of Dimes,id,G30: Cancer,Healthcare,Healthcare - Cancer
AFXJVDZV,Israeli-American Council,id,P20,International Affairs,International Affairs - General
AADUPHBU,Penny Appeal USA,id,Q33: International Relief,International Affairs,International Affairs - General
AYDKPHBH,Stand Up To Cancer,id,T12,Public and Society Benefit,Public & Society Benefit - General
AWZMSZKB,USA for UNFPA,id,"Q71: International Migration, Refugee Issues",International Affairs,International Affairs - General
ADEQBZGW,Restore7,id,X20: Christian,Religion,Religion - Christian
AKVBCGZY,Humaniti USA,id,Q33: International Relief,International Affairs,International Affairs - General
AJDZGJPP,Humaniti,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
AKWZXSEB,InnerScience Research Fund,unclassified,,,
AZCTVWQQ,Love A Child,id,Q33: International Relief,International Affairs,International Affairs - General
AVBTATUK,Crohn's & Colitis Foundation,id,G90: Medical Disciplines,Healthcare,Healthcare - General
AYWVYXKU,BC SPCA,unclassified,,,
AGZKYDGZ,Autism Speaks,id,G84: Autism,Healthcare,Healthcare - General
AWWMGJWJ,ACN - USA English,unclassified,,,
AXRBQVQH,The Food Bank of Waterloo Region,id,K31: Food Banks & Pantries,Food & Nutrition,Food Banks
AWKKWSUU,Mercy Ships Australia,id,Q33: International Relief,International Affairs,International Affairs - General
AMPUYMUP,Feeding Westchester,id,"K30: Food Service, Free Food Distribution Programs",Food & Nutrition,Food Banks
AYJLCWXL,World Concern,unclassified,,,
AEDVPKAW,Lustgarten Foundation,id,H12: Medical Research Fund Raising and Fund Distribution,Healthcare,Healthcare - General
ABAYAGBN,The Deen Center,id,X12: Religion-Related Fund Raising and Fund Distribution,Religion,Religion - General
AYHQYPSQ,The Bail Project,id,I80: Legal Services,Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
AWMWZJRX,IFAW US/INT,unclassified,,,
ACFRVWZR,National Council of Canadian Muslims,id,"X: Religion Related, Spiritual Development",Religion,Religion - General
AJNCVPHU,Surfrider Foundation,id,C60: Environmental Education,Environment,Environment - General
AJSDJUJH,The Water Project,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
AYSVKLHR,Yonge Street Mission,id,Not US,Human Services,Human Services - Sports & Youth Development
APLTDHSD,Paws of War,id,D20: Animal Protection and Welfare,Animal Welfare,Animal Welfare - General
AQAZGSEP,United Way Worldwide,id,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",Public and Society Benefit,Public & Society Benefit - General
AGZYZXUL,Thich Nhat Hanh Foundation,id,X00: Religion: General,Religion,Religion - General
AQQGCCQX,Love Justice International,id,Q33: International Relief,International Affairs,International Affairs - General
AHCVSGDD,Global Helping Hands,id,P: Human Services - Multipurpose and Other,Human Services,Human Services - General
AKPJEQEY,Toronto Humane Society,id,Not US,Human Services,Human Services - Sports & Youth Development
AYTTUBWG,MAP International,id,Q33: International Relief,International Affairs,International Affairs - General
ABHJPVCZ,"Soroptimist International Of The Americas, INC",id,S80: Community Service Clubs,Public and Society Benefit,Public & Society Benefit - General
ACBBQBMS,Mel Trotter Ministries,id,X20: Christian,Religion,Religion - Christian
ASAUPACV,Sea Shepherd Global,unclassified,,,
ABXBVMVA,Foundation For Individual Rights and Expression,id,R630,,
ARLMLBYH,Proverbs 31 Ministries,id,X20: Christian,Religion,Religion - Christian
AAURWRZC,St Martin-in-the-Fields Charity,unclassified,,,
AEWKBBRG,Arthritis Foundation,id,"G50: Nerve, Muscle, and Bone Diseases",Healthcare,Healthcare - General
AHPNKCQV,WIRES,id,S40: Business and Industry,Public and Society Benefit,Public & Society Benefit - General
ATZUNKUS,American Humane Society,unclassified,,,
AMELTBAQ,Stronghold Rescue and Relief,id,P60: Emergency Assistance,Human Services,Human Services - General
AQANHQCE,Irish Cancer Society,id,G30: Cancer,Healthcare,Healthcare - Cancer
ACCWABLW,The Gospel Coalition,id,X00: Religion: General,Religion,Religion - General
ALPSUTTK,San Francisco SPCA,id,D20: Animal Protection and Welfare,Animal Welfare,Animal Welfare - General
AMNZWRCT,CHOC FOUNDATION,id,E24,,
ACNDRTRS,Vladimir Savchuk Ministries,id,X20: Christian,Religion,Religion - Christian
AWYVVGNV,Refugee & Immigrant Center for Education & Legal Services (RAICES),id,"P84: Ethnic, Immigrant Centers and Services",Human Services,"Human Services - Housing, Shelter"
ACKQVTRX,Siloam Mission,id,T20: Private Foundations,Public and Society Benefit,Public & Society Benefit - General
ABAGJSNG,NYC Muslim Center,id,X40: Islamic,Religion,Religion - Islamic
ADVSYLJL,OneHope,id,Q33: International Relief,International Affairs,International Affairs - General
AGEMTLDN,Bay Area Rescue Mission,id,P20: Human Service Organizations,Human Services,Human Services - General
AFBYGZNM,Comic Relief US,unclassified,,,
AHKWQRUP,Mission Bon Accueil,id,Not US,Human Services,Human Services - Sports & Youth Development
ATFSKVSS,Human Coalition,id,R62: Right to Life,Human Services,"Human Services - Civil Rights, Social Justice"
ABWENMKQ,Let Them Live,id,P01: Human Services Alliances and Advocacy,Human Services,Human Services - General
AMUJNGWP,Amazima Ministries,unclassified,,,
AFFEPUYM,"National Council, St. Vincent de Paul",unclassified,,,
ARMYKCAJ,Ovarian Cancer Research Alliance,id,G30: Cancer,Healthcare,Healthcare - Cancer
AGWWNSMN,Oregon Humane Society,id,D20: Animal Protection and Welfare,Animal Welfare,Animal Welfare - General
AWJDKUKJ,Ronald McDonald House New York,id,E86: Patient Services,Healthcare,Healthcare - General
ABJJCCQK,Pancreatic Cancer Action Network,id,G30: Cancer,Healthcare,Healthcare - Cancer
ANRVANRZ,Mercy Ships UK,id,Q33: International Relief,International Affairs,International Affairs - General
AXBJWNFJ,The Terry Fox Foundation,id,G30: Cancer,Healthcare,Healthcare - Cancer
ALEZNENB,Colorado Coalition For The Homeless,id,P85: Homeless Persons Centers and Services,Human Services,"Human Services - Housing, Shelter"
ADUSYVUZ,Orbis International,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
AUSMBFYM,Arthritis Society Canada,id,"G50: Nerve, Muscle, and Bone Diseases",Healthcare,Healthcare - General
AFAFAFVW,Outside America Foundation,id,Q33,International Affairs,International Affairs - General
ACCZQBQS,Diabetes Canada,id,"G: Diseases, Disorders, Medical Disciplines",Healthcare,Healthcare - General
AXYWWXGE,Indspire,id,B00: Education: General,Education,Education - General
AEWJHXXV,The Foster Alliance (formerly Arizona Helping Hands),unclassified,,,
ATLYZYWR,Help The Persecuted,id,Q70: International Human Rights,International Affairs,International Affairs - General
AMSVGLUS,Exodus Cry,id,Q70: International Human Rights,International Affairs,International Affairs - General
ANBUZRXC,Oscar's Place,unclassified,,,
ANBYCWZB,Rise Against Hunger,id,Q33: International Relief,International Affairs,International Affairs - General
ADEKFRJF,Lifeline Children's Services,id,X20,Religion,Religion - Christian
AHJQNDCA,Second Harvest Inland Northwest,id,"K31: Food Banks, Food Pantries",Food & Nutrition,Food Banks
AEUTFKPN,Lev Lalev,id,T30,,
AMSSEBEU,Access Fund,id,C34: Land Resources Conservation,Environment,Environment - General
ACVWPGTX,National Breast Cancer Foundation,id,G30: Cancer,Healthcare,Healthcare - Cancer
AFZFMPFT,RedRover,id,D20: Animal Protection and Welfare,Animal Welfare,Animal Welfare - General
ADFSLUFV,Calgary Humane Society,id,D: Animal-Related,Animal Welfare,Animal Welfare - General
ALGSVEZH,SPCA International - Shelter Support Fund,id,D20: Animal Protection and Welfare,Animal Welfare,Animal Welfare - General
AGLZRAKC,Arkansas Foodbank,id,"K31: Food Banks, Food Pantries",Food & Nutrition,Food Banks
ARYXRDQL,Greater Baton Rouge Food Bank,id,"K31: Food Banks, Food Pantries",Food & Nutrition,Food Banks
ADBHFHVE,National Heart Foundation of Australia,id,Not US,Human Services,Human Services - Sports & Youth Development
AXCHDMUW,All Faiths Food Bank,id,"K31: Food Banks, Food Pantries",Food & Nutrition,Food Banks
AVMRVNLJ,The Exodus Road,id,Q70: International Human Rights,International Affairs,International Affairs - General
ATBTMWDS,Pancreatic Cancer UK,id,G30: Cancer,Healthcare,Healthcare - Cancer
AGMWLLED,St. Matthew's House,id,"L41: Homeless, Temporary Shelter",Human Services,"Human Services - Housing, Shelter"
APQJPBMZ,Humane Society of Huron Valley,id,D20: Animal Protection and Welfare,Animal Welfare,Animal Welfare - General
AGEBSDZJ,Tikkun International,id,X03: Religion-Related Professional Societies and Associations,Religion,Religion - General
ABBUGUKC,Filter of Hope,id,X20: Christian,Religion,Religion - Christian
AGMKRHGV,CWS,id,F21,,
ACKTXHNR,Basmah,id,T20: Private Foundations,Public and Society Benefit,Public & Society Benefit - General
ACUVFNNB,Clinton Foundation,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
ALPEXDKM,Arbor Day Foundation,id,C50: Environmental Beautification and Open Spaces,Environment,Environment - General
APGKFCPG,Ukraine Children's Action Project,unclassified,,,
AXKVKWXB,Scottish SPCA,unclassified,,,
AJBDYFXT,The Seeing Eye,id,P80: Services to Promote the Independence of Specific Population Groups,Human Services,"Human Services - Housing, Shelter"
AUHUYHUQ,Indus Development Foundation,unclassified,,,
AEDSCDSM,BlinkNow Foundation,id,"P70: Residential, Custodial Care (Group Home)",Human Services,"Human Services - Housing, Shelter"
AEBEFEXG,Helen Keller Intl,unclassified,,,
ADLVBFDL,Médecins Sans Frontières Ireland,unclassified,,,
AEFMHTCM,Pachamama Alliance,id,C30: Natural Resources Conservation and Protection,Environment,Environment - General
AGACXGAW,International Medical Corps,id,Q33: International Relief,International Affairs,International Affairs - General
ZSNREIBR,Child Mind Institute,id,F01: Mental Health and Crisis Intervention Alliances and Advocacy,Healthcare,"Healthcare - Mental Health, Abuse"
