account_id,account_name_2025,account_name_2024,cohort_2025,in_2024_all_accounts,gpv_2024_usd,gpv_2025_usd,delta_2025_vs_2024_usd,yoy_2025_vs_2024_pct,account_tier_2025,religious_tier_2025,match_type,religious_match_reason
AFLRJKTK,Fellowship of Christian Athletes,Fellowship of Christian Athletes,legacy_2025,yes,106875460.00,116904951.00,10029491.00,9.38,Tier 1 ($100K+),TIER 1,exact,Account Name: christian; Account Name: christ; NTEE Code (Map to Sub Sectors): religious
APRVBZRU,Muslimi,Muslimi,legacy_2025,yes,26484223.00,40542668.00,14058445.00,53.08,Tier 3 ($20K–$50K),TIER 1,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
AAHPVCHM,Come And See,,new_2025,no,0.00,26013164.00,26013164.00,,Tier 1 ($100K+),TIER 1,normalized,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ASNVRJLX,The Salvation Army UK,The Salvation Army UK,legacy_2025,yes,15465764.00,18475115.00,3009351.00,19.46,Tier 1 ($100K+),TIER 1,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AZELQFFN,Colel Chabad HQ,Colel Chabad HQ,legacy_2025,yes,6290017.00,7597377.00,1307360.00,20.78,Tier 5 ($5K–10K),TIER 1,exact,NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
ABGAXMMM,Christian Appalachian Project,Christian Appalachian Project,legacy_2025,yes,4536358.00,5804398.00,1268040.00,27.95,Tier 1 ($100K+),TIER 1,exact,Account Name: christian; Account Name: christ
ACFYBJHQ,Society of St. Vincent De Paul of Phoenix,,new_2025,no,0.00,4982641.00,4982641.00,,Tier 1 ($100K+),TIER 1,normalized,NTEE Code (Map to Sub Sectors): catholic; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
ABAGJSNG,NYC Muslim Center,NYC Muslim Center,legacy_2025,yes,1421236.00,4922996.00,3501760.00,246.39,Tier 1 ($100K+),TIER 1,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
APQKCPHZ,David Hernandez Ministries,David Hernandez Ministries,legacy_2025,yes,4873488.00,4584734.00,-288754.00,-5.92,Tier 2 ($50K–$100K),TIER 1,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ATEVEEFP,Wheeler Mission,Wheeler Mission,legacy_2025,yes,3355466.00,4181126.00,825660.00,24.61,Tier 2 ($50K–$100K),TIER 1,exact,Account Name: mission
AQXHJKUK,Radical,Radical,legacy_2025,yes,4282552.00,3860175.00,-422377.00,-9.86,Tier 2 ($50K–$100K),TIER 2,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AYCWZWGY,Matthew 25 Ministries,Matthew 25: Ministries,legacy_2025,yes,3240916.00,3256730.00,15814.00,0.49,Tier 3 ($20K–$50K),TIER 2,normalized,Account Name: ministries
ANFDKLPL,The Jewish Federation of Greater Washington,The Jewish Federation of Greater Washington,legacy_2025,yes,2833561.00,2794255.00,-39306.00,-1.39,Tier 1 ($100K+),TIER 3,exact,Account Name: jewish; NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
AUASVNBM,Dallas Theological Seminary,,new_2025,no,0.00,2702801.00,2702801.00,,Tier 2 ($50K–$100K),TIER 2,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
ARLMLBYH,Proverbs 31 Ministries,Proverbs 31 Ministries,legacy_2025,yes,1716240.00,2629416.00,913176.00,53.21,Tier 3 ($20K–$50K),TIER 2,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AYSVKLHR,Yonge Street Mission,Yonge Street Mission,legacy_2025,yes,1936283.00,2195481.00,259198.00,13.39,Tier 3 ($20K–$50K),TIER 2,exact,Account Name: mission
AHKWQRUP,Mission Bon Accueil,Mission Bon Accueil,legacy_2025,yes,1383327.00,1978743.00,595416.00,43.04,Tier 2 ($50K–$100K),TIER 1,exact,Account Name: mission
ACFRVWZR,National Council of Canadian Muslims,National Council of Canadian Muslims,legacy_2025,yes,1998814.00,1973443.00,-25371.00,-1.27,Tier 3 ($20K–$50K),TIER 3,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion
ABAYAGBN,The Deen Center,The Deen Center,legacy_2025,yes,2175619.00,1911946.00,-263673.00,-12.12,Tier 1 ($100K+),TIER 3,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AGZYZXUL,Thich Nhat Hanh Foundation,Thich Nhat Hanh Foundation,legacy_2025,yes,1839496.00,1890766.00,51270.00,2.79,Tier 2 ($50K–$100K),TIER 2,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AGEMTLDN,Bay Area Rescue Mission,Bay Area Rescue Mission,legacy_2025,yes,1406978.00,1881973.00,474995.00,33.76,Tier 3 ($20K–$50K),TIER 2,exact,Account Name: mission
ALCUDRVC,Durham Rescue Mission,Durham Rescue Mission,legacy_2025,yes,459665.00,1830165.00,1370500.00,298.15,Tier 2 ($50K–$100K),TIER 2,exact,Account Name: mission; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
